TriggerID, Nome do host, IP, Descrição
19014, office-new-york-Switch.zabbix, 192.168.3.241, /: Running out of free inodes (free < 20%)
19015, office-new-york-Switch.zabbix, 192.168.3.241, /: Disk space is critically low (used > 90%)
19016, office-new-york-Switch.zabbix, 192.168.3.241, /: Disk space is low (used > 80%)
18921, office-new-york-Switch.zabbix, 192.168.3.241, Lack of available memory (<20M of 477.78 MB)
18922, office-new-york-Switch.zabbix, 192.168.3.241, High memory utilization (>90% for 5m)
18923, office-new-york-Switch.zabbix, 192.168.3.241, Zabbix agent is not available (for 3m)
 ,office-new-york-sr02.zabbix
18932, office-new-york-sr02.zabbix, 192.168.3.243, Unavailable by ICMP ping
18933, office-new-york-sr02.zabbix, 192.168.3.243, High ICMP ping loss
18934, office-new-york-sr02.zabbix, 192.168.3.243, High ICMP ping response time
18935, office-new-york-sr02.zabbix, 192.168.3.243, Configured max number of open filedescriptors is too low (< 256)
18936, office-new-york-sr02.zabbix, 192.168.3.243, Getting closer to process limit (over 80% used)
18937, office-new-york-sr02.zabbix, 192.168.3.243, Configured max number of processes is too low (< 1024)
19017, office-new-york-sr02.zabbix, 192.168.3.243, Interface eth0: High error rate (>2 for 5m)
19018, office-new-york-sr02.zabbix, 192.168.3.243, Interface eth1: High error rate (>2 for 5m)
18938, office-new-york-sr02.zabbix, 192.168.3.243, Load average is too high (per CPU load over 1.5 for 5m)
18939, office-new-york-sr02.zabbix, 192.168.3.243, High CPU utilization (over 90% for 5m)
18940, office-new-york-sr02.zabbix, 192.168.3.243, System name has changed (new name: office-new-york-sr02)
18942, office-new-york-sr02.zabbix, 192.168.3.243, Operating system description has changed
18943, office-new-york-sr02.zabbix, 192.168.3.243, High swap space usage (less than 50% free)
18944, office-new-york-sr02.zabbix, 192.168.3.243, office-new-york-sr02.zabbix has been restarted (uptime < 10m)
18945, office-new-york-sr02.zabbix, 192.168.3.243, /etc/passwd has been changed
19019, office-new-york-sr02.zabbix, 192.168.3.243, Interface eth0: Link down
19021, office-new-york-sr02.zabbix, 192.168.3.243, Interface eth0: Ethernet has changed to lower speed than it was before
19020, office-new-york-sr02.zabbix, 192.168.3.243, Interface eth1: Link down
19022, office-new-york-sr02.zabbix, 192.168.3.243, Interface eth1: Ethernet has changed to lower speed than it was before
19024, office-new-york-sr02.zabbix, 192.168.3.243, /: Running out of free inodes (free < 10%)
19025, office-new-york-sr02.zabbix, 192.168.3.243, /: Running out of free inodes (free < 20%)
19026, office-new-york-sr02.zabbix, 192.168.3.243, /: Disk space is critically low (used > 90%)
19027, office-new-york-sr02.zabbix, 192.168.3.243, /: Disk space is low (used > 80%)
18946, office-new-york-sr02.zabbix, 192.168.3.243, Lack of available memory (<20M of 472.99 MB)
18947, office-new-york-sr02.zabbix, 192.168.3.243, High memory utilization (>90% for 5m)
18948, office-new-york-sr02.zabbix, 192.168.3.243, Zabbix agent is not available (for 3m)
