TriggerID, Nome do host, IP, Descrição
37579, office-new-york-router.zabbix, 192.168.3.240, System time is out of sync (diff with Zabbix server > 60s)
37580, office-new-york-router.zabbix, 192.168.3.240, Operating system description has changed
37581, office-new-york-router.zabbix, 192.168.3.240, High swap space usage (less than 50% free)
37582, office-new-york-router.zabbix, 192.168.3.240, office-new-york-router.zabbix has been restarted (uptime < 10m)
37583, office-new-york-router.zabbix, 192.168.3.240, /etc/passwd has been changed
37584, office-new-york-router.zabbix, 192.168.3.240, Lack of available memory (<20M of 472.99 MB)
37585, office-new-york-router.zabbix, 192.168.3.240, High memory utilization (>90% for 5m)
 ,office-new-york-Switch.zabbix
37597, office-new-york-Switch.zabbix, 192.168.3.241, Zabbix agent is not available (or nodata for 30m)
37594, office-new-york-Switch.zabbix, 192.168.3.241, Unavailable by ICMP ping
37595, office-new-york-Switch.zabbix, 192.168.3.241, High ICMP ping loss
37596, office-new-york-Switch.zabbix, 192.168.3.241, High ICMP ping response time
37598, office-new-york-Switch.zabbix, 192.168.3.241, Configured max number of open filedescriptors is too low (< 256)
37599, office-new-york-Switch.zabbix, 192.168.3.241, Getting closer to process limit (over 80% used)
37600, office-new-york-Switch.zabbix, 192.168.3.241, Configured max number of processes is too low (< 1024)
37601, office-new-york-Switch.zabbix, 192.168.3.241, Load average is too high (per CPU load over 1.5 for 5m)
37602, office-new-york-Switch.zabbix, 192.168.3.241, High CPU utilization (over 90% for 5m)
37603, office-new-york-Switch.zabbix, 192.168.3.241, System name has changed (new name: *UNKNOWN*)
37604, office-new-york-Switch.zabbix, 192.168.3.241, System time is out of sync (diff with Zabbix server > 60s)
37605, office-new-york-Switch.zabbix, 192.168.3.241, Operating system description has changed
37606, office-new-york-Switch.zabbix, 192.168.3.241, High swap space usage (less than 50% free)
37607, office-new-york-Switch.zabbix, 192.168.3.241, office-new-york-Switch.zabbix has been restarted (uptime < 10m)
37608, office-new-york-Switch.zabbix, 192.168.3.241, /etc/passwd has been changed
37609, office-new-york-Switch.zabbix, 192.168.3.241, Lack of available memory (<20M of 477.78 MB)
37610, office-new-york-Switch.zabbix, 192.168.3.241, High memory utilization (>90% for 5m)
